,premise_emotion,premise_motivation,premise_consequence,premise_rot,hypothesis_emotion,hypothesis_motivation,hypothesis_consequence,hypothesis_rot
2355,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a married person.,[immoral_consequence] I never got involved with anyone who was married or too young or too naive to know about life and its difficulties.,It's good to know about life and its difficulties.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good wife.,[immoral_consequence] I was never able to get involved with anyone who was married or too young to know the score.,It's good to be a married person.
2356,Dog's emotion is scared.,Dog's motivation is to be safe.,[immoral_consequence] The dog is unable to get food.,It's good to be careful when you're a pet owner.,Dog's emotion is happy.,Dog's motivation is to be a pet.,[immoral_consequence] The dog is scolded by the police for being a jerk.,It's good to be able to see your pet.
2357,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was irritated by the water and irritated by the water.,It's good to be mindful of your health.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was irritated by the tepid water and reacted to the bath.,It's good to be careful when you're in a bath full of tepid water.
2358,.,.,[immoral_consequence] The other people in the room were hurt and resentful of the attack.,It's good to be respectful to your opponent.,.,.,[immoral_consequence] The victims of the attack were hurt and the police arrested him.,It's good to be aware of your fears.
2359,I (myself)'s emotion is happy.,.,[immoral_consequence] The people who work together are unable to achieve more than one person who is alone.,It's good to share ideas with others.,I (myself)'s emotion is happy.,.,[immoral_consequence] The other people who haven't figured out how to die are more likely to be able to share their ideas.,It's good to share ideas with others.
2360,.,.,[immoral_consequence] The fire was roasted and the beef was burned and inedible.,It's good to cook beef.,.,.,[immoral_consequence] The fire shattered the beef and ruined it.,It's good to cook your beef.
2361,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was unable to clean the cupboards and shattered the tea cup.,It's good to clean your cupboards.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was unable to clean the cupboards and was unable to get the tea cup back.,It's good to clean your cupboards.
2362,.,.,[immoral_consequence] The sky slowed with a rosy splendor.,It's good to have a good view of the sky.,.,.,[immoral_consequence] The sky swoops in the sky and screams at the sky.,It's good to have a beautiful sky.
2363,The professor's emotion is helpful.,Professor's motivation is to be helpful.,[moral_consequence] The professor is able to explain the entire chapter in a few words.,It's good to be helpful to students.,The professor's emotion is helpful.,The professor's motivation is to be helpful.,[moral_consequence] The professor is able to explain the entire chapter in a concise manner.,It's good to be a good teacher.
2364,Carly's emotion is sad.,Carly's motivation is to be a good person.,"[immoral_consequence] Carly's feelings are hurt, and she feels like she isn't a good person.",It's good to be a good person.,Carly's emotion is happy.,Carly's motivation is to be a superhero.,[immoral_consequence] Carly was unable to see the movie and was unable to watch it.,It's good to be a superhero.
2365,I (myself)'s emotion is sad.,I (myself)'s motivation is to be healthy.,[immoral_consequence] I'm a little scared and resentful of myself for not buying anything.,It's good to buy things that you like.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good person.,[immoral_consequence] I'm unable to afford anything and is unable to afford it.,It's good to be excited about things.
2366,I (myself)'s emotion is happy.,I (myself)'s motivation is to get a new car.,[immoral_consequence] I was unable to get a new car.,It's good to complete your new car.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] I feel sad and sad.,It's good to be excited about your new car.
2367,.,.,[immoral_consequence] The other people in the house screamed at the food and screamed at the food.,It's good to be careful when you're eating a food item.,.,.,[immoral_consequence] The flesh screams and screams at the doctor.,It's good to be careful when you're a snoring person.
2368,Someone's emotion is scared.,Someone's motivation is to be helpful.,[immoral_consequence] The person who hit me is arrested for a crime.,It's good to want to find someone you love.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[moral_consequence] The person who hit my car is able to get some help and get it back to the police.,It's good to explain things to people.
2369,.,.,[moral_consequence] The community was able to live a life that was able to be a part of.,It's good to be self-sustaining.,.,.,[moral_consequence] The community was able to live a life that was able to live.,It's good to be self-sustaining.
2370,I (myself)'s emotion is happy.,I (myself)'s motivation is to be safe.,[immoral_consequence] The other passengers were upset and resent me for not taking my seat.,It's good to be prepared for your trip.,I (myself)'s emotion is sad.,I (myself)'s motivation is to travel.,[immoral_consequence] I was unable to get to Japan without permission and was unable to get to the airport.,It's good to fly to Japan.
2371,Police union's emotion is cautious.,Police union's motivation is to be responsible.,[immoral_consequence] The police union is unable to help the police.,It's good to be careful about things that are important to you.,Police union's emotion is cautious.,Police union's motivation is to be helpful.,[immoral_consequence] The police union will not be able to enforce the law.,It's wrong to violate the law.
2372,lizzie's emotion is happy.,lizzie's motivation is to be safe.,[moral_consequence] lizzie and bree are able to sleep in the surgery and eat well.,It's good to be carefree and enjoyable.,lizzie's emotion is happy.,lizzie's motivation is to be safe.,[immoral_consequence] lizzie and her father are both ill and lizzie feels sad and sad.,It's good to be patient.
2373,Mailman's emotion is angry.,Mailman's motivation is to be safe.,[immoral_consequence] The mailman is arrested for theft.,It's wrong to steal from someone.,I (myself)'s emotion is sad.,Mailman's motivation is to be safe.,[immoral_consequence] The mailman was arrested for robbery.,It's wrong to steal from someone.
2374,Woman's emotion is happy.,Woman's motivation is to be a good person.,[moral_consequence] The woman was able to relax and enjoy herself.,It's good to laugh at people.,Woman's emotion is happy.,Woman's motivation is to be a good person.,[moral_consequence] The woman's feelings are hurt.,It's good to be happy when someone laughs.
2375,Husband's emotion is sad.,Husband's motivation is to have fun.,[immoral_consequence] My husband will be sad and be so sad.,It's good to be there for your partner.,I (myself)'s emotion is grateful.,I (myself)'s motivation is to be helpful.,[moral_consequence] I am grateful for the prickling loneliness that my husband has given me.,It's good to be grateful for the loneliness you have.
2376,.,.,[immoral_consequence] The buyer was disappointed and didn't get the house back.,It's good to be prepared for a sale.,I (myself)'s emotion is surprised.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The seller slammed the sale and reprimanded the sale.,It's good to be surprised when you're hung fire.
2377,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The other people were unable to forgive me for the rest of the day.,It's good to forgive people.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a good friend.,[immoral_consequence] The other people were unable to get the same thing as me.,It's good to let bygones be bygones.
2378,.,.,[immoral_consequence] The neighbors see the ruins of the courtyard.,It's good to be aware of your surroundings.,.,.,[immoral_consequence] The other people in the courtyard are upset with the broken projector.,It's understandable to be upset when someone breaks your projector.
2379,Neighbor's emotion is sad.,Neighbor's motivation is to be helpful.,[immoral_consequence] My neighbor is hurt by the neglect of their dog.,It's good to care about your pets.,Neighbor's emotion is sad.,.,[immoral_consequence] The dog's owner is upset and feels that their neighbor isn't caring for them.,It's good to care for your pets.
2380,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[moral_consequence] The other people are able to relax and have fun.,It's good to have fun with your friends.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The man who is doing his job is hurt and hurt.,It's good to want someone to stop with all of that.
2381,.,.,[immoral_consequence] The moon is sunk and sunk.,It's good to be aware of the new moon.,.,.,[immoral_consequence] The moon is shattered by the sun and the sun is shattered.,It's good to have a new moon.
2382,I (myself)'s emotion is angry.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My boss is offended and tells me that he's not a good manager.,It's wrong to lie to your boss.,I (myself)'s emotion is worried.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My boss is upset that his boss is being rude and isn't able to handle the situation.,It's wrong to be worried about your boss.
2383,.,.,[immoral_consequence] The other people in the room were disgusted by the obscene behavior.,It's okay to be disgusted by something that is obscene.,.,.,[immoral_consequence] The woman was scolded by the police for being a jerk.,It's okay to be angry when someone is obscene.
2384,.,.,[immoral_consequence] The owner of the house would not be able to keep the things tidy and tidy.,It's good to keep things tidy.,.,.,[moral_consequence] The apple cart would be able to be able to store the apple cart.,It's good to be honest with others.
2385,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was so upset that the package was ruined.,It's wrong to ruin something you ordered online.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good guest.,[immoral_consequence] I was unable to get the package and was unable to get it back.,It's good to be anxious about your arrival.
2386,I (myself)'s emotion is sad.,.,[immoral_consequence] The police are called and arrest the police.,It's good to be aware of your death.,.,.,[immoral_consequence] The police are called and arrest the man.,It's good to be aware of the dangers of death.
2387,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a smoker.,[immoral_consequence] The ash is a hazard and is a hazard.,It's okay to be upset when you're smoking cigarettes.,I (myself)'s emotion is disgusted.,I (myself)'s motivation is to be safe.,[immoral_consequence] The ash drops in my work pants and stains my clothes.,It's good to smoke if you're a smoker.
2388,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My sister's sister is upset that she didn't know about her shoes.,It's good to have a good time at a party.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My sister is hurt that she didn't get her permission and is unable to afford her shoes.,It's okay to feel terrible when you borrow your sibling's shoes.
2389,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The other people are hurt by the lack of help.,It's good to take care of yourself.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be alone.,[immoral_consequence] The other people aren't able to get to the end of the day.,It's good to go it alone.
2390,I (myself)'s emotion is happy.,I (myself)'s motivation is to see the boat.,[immoral_consequence] The boat was abandoned and the boat was abandoned.,It's good to see the abandoned boat.,I (myself)'s emotion is curious.,I (myself)'s motivation is to see what was going on.,[immoral_consequence] The boat was abandoned and the boat was abandoned.,It's good to see the abandoned boat.
2391,Everyone's emotion is sad.,Everyone's motivation is to be safe.,[immoral_consequence] Everyone in the room is hurt and screams at him.,It's good to laugh at people.,Everyone's emotion is sad.,.,[immoral_consequence] Everyone in the room is hurt by the laughter.,It's good to be honest with others.
2392,.,.,[moral_consequence] The door was protected by the owner.,It's good to protect your property.,.,.,[immoral_consequence] The door slapped the door and the door was slapped.,It's good to be assertive.
2393,Mr. richfield's emotion is remorseful.,Mr. richfield's motivation is to be respectful.,[moral_consequence] You should be able to be as good and dignified as possible.,It's good to try to be respectful to others.,Mr. richfield's emotion is elated.,Mr. richfield's motivation is to be helpful.,[immoral_consequence] The other people in the house are upset with Mr. Richfield for suggesting you go to a salon.,It's good to be honest with people.
2394,Yevsen's emotion is calm.,Yevsen's motivation is to be gentle.,[moral_consequence] Yevsen's voice is gentle.,It's good to be gentle to people.,Yevsen's emotion is sad.,Yevsen's motivation is to be understood.,[immoral_consequence] Yevsen's voice is a bit distorted and distorted.,It's good to be respectful to people.
2395,I (myself)'s emotion is sad.,I (myself)'s motivation is to be clever.,[immoral_consequence] I'm a bit irritated by the clever one-liner.,It's good to use clever lyrics.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be creative.,[immoral_consequence] The people around me feel a little annoyed and don't like the lyrics.,It's good to use clever lyrics.
2396,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My son's odometer was rolled back and he was arrested.,It's good to buy a used car for your kids.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My son was unable to get the odometer on the car and was unable to drive it.,It's good to be excited when your child is rolled back.
2397,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I'm unable to get enough exercise and lose weight.,It's good to have a workout bench.,I (myself)'s emotion is proud.,I (myself)'s motivation is to be a good athlete.,[immoral_consequence] I have to go to the gym to get some exercise and lose weight.,It's good to exercise.
2398,I (myself)'s emotion is happy.,I (myself)'s motivation is to have fun.,[immoral_consequence] The prairie is a bit populated by wild animals.,It's good to have a nature.,I (myself)'s emotion is scared.,I (myself)'s motivation is to be safe.,[immoral_consequence] The water was soaked and wet.,It's good to be aware of your surroundings.
2399,I (myself)'s emotion is happy.,I (myself)'s motivation is to be healthy.,[immoral_consequence] I ate a lot of chocolate bars and a lot of chocolate bars.,It's good to eat healthy.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be healthy.,[immoral_consequence] I feel resentful and resentful of eating chocolate bars.,It's wrong to cheat on your diet.
2400,Michael's emotion is happy.,Michael's motivation is to be with Jennifer.,[moral_consequence] Jennifer is happy that Michael is returning to her.,It's good to return to someone you love.,I (myself)'s emotion is happy.,.,[immoral_consequence] You aren't allowed to go out with michael if you're jennifer.,It's okay to be upset if you're going out with someone.
2401,.,.,[immoral_consequence] The girls were unable to win softening from the other girls.,It's good to be proud of your achievements.,.,.,[immoral_consequence] The crocodiles were unable to win softening from their mother.,It's good to be proud of your achievements.
2402,I (myself)'s emotion is sad.,Girl's motivation is to be safe.,"[immoral_consequence] The girl on Tinder screamed at me, and she screamed at her.",It's good to be honest with people.,I (myself)'s emotion is happy.,I (myself)'s motivation is to have fun.,[immoral_consequence] The girl was a bit scared and screamed at me.,It's good to go out with people you met on Tinder.
2403,.,.,[immoral_consequence] The other people in the group are hurt by the fear of a weaker person.,It's good to be supportive of your friends.,.,.,[immoral_consequence] The other people in the world are hurt by the fear of failing.,It's good to be prepared for failures.
2404,.,.,[immoral_consequence] The person who was sad and depressed never knew it was possible to be sad and depressed.,It's good to be sad and depressed.,.,.,[immoral_consequence] The other people in the cloud aren't able to walk on the cloud.,It's good to be aware of your surroundings.
2405,.,.,[immoral_consequence] The man who was suddenly suddenly suddenly suddenly died and was not alive.,It's good to be aware of your past.,.,.,[immoral_consequence] The man who died was a doornail.,It's good to be aware of your death.
2406,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a good person.,[immoral_consequence] I was unable to live a life that was ruined by the past.,It's good to have a life that starts to be a good one.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a good person.,[moral_consequence] I was able to live a life that was a good one.,It's good to be able to live your life.
2407,.,.,[immoral_consequence] Santiago's friends were shocked by the vampire's movements and resent him for not being able to control them.,It's good to be aware of vampires.,.,Santiago's motivation is to be helpful.,"[immoral_consequence] The vampire was sprited by the sprite, and Santiago was arrested for a crime.",It's good to be aware of your surroundings.
2408,Roommate's emotion is annoyed.,Roommate's motivation is to be helpful.,[immoral_consequence] My roommate is upset and feels like he's not doing the right thing.,It's okay to be annoyed when your roommate doesn't clean up.,Roommate's emotion is annoyed.,Roommate's motivation is to be helpful.,[immoral_consequence] My roommate is upset and feels like he's being a mess.,It's good to clean up your room.
2409,I (myself)'s emotion is irritated.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I had no idea what he was saying and no longer wanted to be around him.,It's good to be honest with your friends.,I (myself)'s emotion is cautious.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I had no idea what he was saying and no one was hurt.,It's good to be honest with your friends.
2410,Man's emotion is angry.,Man's motivation is to be respectful.,[immoral_consequence] The man in the red pyjamas slammed the door of his room and slammed it.,It's wrong to shout at your partner.,Man's emotion is angry.,Man's motivation is to be rude.,[immoral_consequence] The man in the red pyjamas slammed the door of his room.,It's wrong to shout at your partner.
2411,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[moral_consequence] I am grateful to be alive to be alive to the moment.,It's good to be grateful for your life.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be safe.,[moral_consequence] I am able to get back to normal and feel better after the accident.,It's good to be excited about the possibility of a crash.
2412,People's emotion is happy.,People's motivation is to enjoy themselves.,[moral_consequence] People were able to enjoy themselves and enjoy the rest of the night.,It's good to walk out of the theater.,People's emotion is angry.,People's motivation is to see the movie.,[immoral_consequence] People were angry at the crowd for not being able to see the theater.,It's good to be able to get out of the theater.
2413,I (myself)'s emotion is tired.,I (myself)'s motivation is to be safe.,[immoral_consequence] I was unable to get to the hospital.,It's good to be tired and strengthless.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a good man.,[immoral_consequence] I was unable to get home from work and kris was unable to get to work.,It's good to be able to get home from work.
2414,.,.,[moral_consequence] The talk was completed and the meeting was able to finish.,It's good to talk to people at the end of a meeting.,.,.,[moral_consequence] The audience was impressed by the speech.,It's good to give a speech to people.
2415,.,.,[moral_consequence] The person who was practical was able to understand the harsh realities of the world.,It's good to be aware of the harsh realities of the world.,.,.,[immoral_consequence] The world was ruined by the snobbishness of the world.,It's good to be aware of your dreams.
2416,.,.,[immoral_consequence] The people who are doing their best are unable to speak to each other.,It's good to take action.,.,.,[immoral_consequence] The other people who are angry are more likely to be a louder person.,It's good to be respectful to others.
2417,I (myself)'s emotion is sad.,.,[immoral_consequence] Some people don't have the right to waste their talents and life.,It's good to be aware of your talents and life.,.,.,[immoral_consequence] The human race is a bit offended by the lack of talent and the lack of talent.,It's good to be proud of yourself.
2418,.,.,"[immoral_consequence] The plant's quality assurance tests were ruined, and the plant's quality assurance tests were ruined.",It's good to make sure you're doing what you want.,.,.,"[immoral_consequence] The plant's quality assurance tests were ruined, and the plant had no quality assurance tests.",It's good to make sure you're doing what you want.
2419,.,Tom's motivation is to be a good photographer.,[moral_consequence] The sun is cool and the sun is shining.,It's good to lay before the sun.,.,.,[immoral_consequence] The sun is shattered and the sun is shattered.,It's good to be mindful of your surroundings.
2420,Brother's emotion is happy.,Brother's girlfriend's motivation is to be loved.,[immoral_consequence] My brother's girlfriend is hurt and resents me for not being able to control his life.,It's good to remember your siblings life.,Brother's emotion is happy.,I (myself)'s motivation is to be loved.,[immoral_consequence] My brother's girlfriend is hurt and feels like he isn't a good brother.,It's good to be honest with your family.
2421,.,.,[immoral_consequence] The price of the goods is escalating and the price of the goods is a little too high.,It's good to be careful when you're paying for things.,.,.,[immoral_consequence] The prices climbed and the price climbed.,It's good to be prepared for your needs.
2422,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I had to pay for the new cards.,It's good to get new cards.,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to get all new cards.,[moral_consequence] I was able to get all new cards and was able to get all the new cards.,It's good to get new cards.
2423,I (myself)'s emotion is sad.,I (myself)'s motivation is to be healthy.,[immoral_consequence] I was diagnosed with stage 4 cancer and was unable to get it.,It's good to be heartbroken when you are diagnosed with cancer.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] I was diagnosed with cancer and later diagnosed with it.,It's good to be devastated when you have cancer.
2424,Ethan's emotion is happy.,Ethan's motivation is to be protective.,[moral_consequence] Ethan was able to play the protective lover with the protective gift.,It's good to play protective things.,Ethan's emotion is happy.,Ethan's motivation is to be a protective lover.,[immoral_consequence] Ethan's lover was upset and resents him.,It's good to play protective things.
2425,I (myself)'s emotion is upset.,I (myself)'s motivation is to be honest.,[moral_consequence] You're not alone in your disagreements.,It's okay to disagree with someone.,I (myself)'s emotion is upset.,.,[moral_consequence] You are able to control who you are.,It's okay to disagree with someone.
2426,.,.,[immoral_consequence] The teapot shook and shook again.,It's good to cook tea.,.,.,[immoral_consequence] The teapot sunk and spits off the water.,It's good to be careful when you boil water.
2427,I (myself)'s emotion is irritated.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I'm a bit jealous of someone who doesn't have to deal with student loan debt.,It's good to be jealous of people who don't have to deal with debt.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I feel sad for people who don't have the experience to deal with the burden of student loan.,It's good to be able to deal with the burden of student loan.
2428,.,.,[immoral_consequence] The kids were unable to get to know each other.,It's good to be supportive of others.,Friends' emotion is excited.,.,[moral_consequence] The kids were able to enjoy themselves.,It's good to be excited about things.
2429,Wallace's emotion is apprehensive.,Wallace's motivation is to be respectful.,[immoral_consequence] Wallace's wife resents him for not being a good person.,It's good to be respectful to others.,Wallace's emotion is calm.,Wallace's motivation is to be respectful.,[immoral_consequence] Wallace's gaze is a bit irritated and irritated by the lack of respect for her.,It's good to be calm and cool as a politician.
2430,I (myself)'s emotion is frustrated.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was unable to watch a movie without my tv.,It's good to use your smart tv to watch movies.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good movie watcher.,[immoral_consequence] I was unable to watch movies on the internet and was unable to watch movies on the internet.,It's good to be grateful when you realize you are lucky.
2431,I (myself)'s emotion is happy.,Friend's motivation is to be helpful.,[immoral_consequence] My friend has to buy a new car for the next few years.,It's good to save up for things you have saved up.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My friend is so upset that she just got a new car that she just bought.,It's good to save up for years.
2432,I (myself)'s emotion is anxious.,I (myself)'s motivation is to be safe.,[moral_consequence] My neighbor's party is still going and I am able to get to the party early.,It's good to attend a party.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be safe.,[moral_consequence] I am able to wake up early and enjoy the party.,It's good to have a party.
2433,I (myself)'s emotion is scared.,I (myself)'s motivation is to see what was happening.,[immoral_consequence] My friend was hurt and screamed.,It's good to be respectful to your friends.,I (myself)'s emotion is scared.,I (myself)'s motivation is to see what was happening.,[immoral_consequence] My friend was hurt by the storm and resents him.,It's good to look at your friends after a storm.
2434,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was unable to pay the bonus for the bonus.,It's good to get a bonus when you're working.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[moral_consequence] I was able to get a bonus for a few days and was able to get it back.,It's good to get a bonus when you're at work.
2435,.,.,[immoral_consequence] The other people who aren't interested in him are unable to satisfy their demands.,It's good to be charismatic.,.,.,[immoral_consequence] The people who aren't there are a lot of people in the world who aren't there to be.,It's good to be charismatic.
2436,I (myself)'s emotion is annoyed.,Sister's motivation is to be safe.,[immoral_consequence] My sister is upset and doesn't want to be out.,It's good to be late for your family.,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to be late.,[immoral_consequence] My sister is annoyed that she isn't able to get out of the room.,It's okay to be upset when your sibling isn't able to get out of the room.
2437,Ramesh's emotion is sad.,Ramesh's parents' motivation is to be respectful.,[immoral_consequence] Ramesh's parents are upset and resent him.,It's good to be honest with your parents.,Ramesh's emotion is proud.,Ramesh's parents' motivation is to be a good boy.,[immoral_consequence] Ramesh's parents are upset that he was a bright boy.,It's good to be proud of your parents.
2438,I (myself)'s emotion is excited.,I (myself)'s motivation is to have fun.,[immoral_consequence] The other golfers were upset and resent me for not doing the right thing.,It's good to have a good time at golfing.,I (myself)'s emotion is happy.,I (myself)'s motivation is to have fun.,[immoral_consequence] The wind and rain in the middle of the round makes the golfers feel very uncomfortable.,It's good to have a good time at golfing.
2439,Mr mcelroy's emotion is sad.,Mr mcelroy's motivation is to be a good man.,[immoral_consequence] Mr mcelroy is unable to deal with the problems he has.,It's good to be honest with your partner.,Mr mcelroy's emotion is sad.,Mr mcelroy's motivation is to be loved.,[immoral_consequence] Mr mcelroy is unable to take day in and out in a marriage.,It's good to be in a marriage.
2440,I (myself)'s emotion is sad.,I (myself)'s motivation is to betrayed.,[immoral_consequence] I feel less than dirt after being trayed by my wife.,It's wrong to betray your spouse.,I (myself)'s emotion is sad.,.,"[immoral_consequence] My wife's trust is hurt, and she feels like she is being a jerk.",It's wrong to betray your spouse's trust.
2441,I (myself)'s emotion is cautious.,I (myself)'s motivation is to be safe.,"[immoral_consequence] I'm not sure if he's caught off guard, and he's not able to complain.",It's good to be confident about your actions.,I (myself)'s emotion is surprised.,.,[immoral_consequence] The other people in the room are upset and don't think he's surprised.,It's good to be surprised when you're surprised.
2442,.,.,[moral_consequence] The two had a great time.,It's good to be excited about your meeting.,.,.,[immoral_consequence] The prisoner was unable to get to the meeting and was arrested.,It's good to be enthusiastic about your meeting.
2443,I (myself)'s emotion is upset.,Roommate's motivation is to be helpful.,[immoral_consequence] The housing department is unable to pay the fine.,It's good to clean out your roommates.,I (myself)'s emotion is happy.,Roommate's motivation is to be safe.,[immoral_consequence] The housing department was unable to clean up the room and the housing department was fined.,It's good to be happy about your roommate's departure.
2444,.,.,[moral_consequence] The business is able to get better and the business is able to thrive.,It's good to be aware of your business needs.,.,.,[moral_consequence] The business is able to get better and the business is able to grow.,It's good to seek help if needed.
2445,I (myself)'s emotion is sad.,I (myself)'s motivation is to be honest.,[immoral_consequence] I am unable to believe the story.,It's wrong to disbelieve something.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a writer.,[moral_consequence] I am able to tell the story without any problems.,It's good to tell stories.
2446,.,.,[immoral_consequence] The environment was ruined and ruined.,It's good to be aware of the environment.,.,.,[immoral_consequence] The environment was ruined by the environment.,It's good to be aware of the environment.
2447,Neighbors' emotion is excited.,Neighbors' motivation is to be helpful.,[immoral_consequence] My neighbors are angry at me for leaving their trash in the hallway.,It's good to be respectful to your neighbors.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The neighbors are angry at the trash and are angry at me.,It's good to have neighbors.
2448,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be a good investor.,[immoral_consequence] I was unable to pay for the money that was lost.,It's wrong to lose money.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good person.,[immoral_consequence] I feel like I lost over $100000 in an investment.,It's good to be aware of your financial situation.
2449,Dog's emotion is happy.,Dog's motivation is to be safe.,[immoral_consequence] My dog is unable to stop barking at every little noise.,It's good to be mindful of your dog's behavior.,Dog's emotion is happy.,Dog's motivation is to be helpful.,[moral_consequence] My dog feels relaxed and relaxed and feels more relaxed.,It's good to be able to relax.
2450,Roommate's emotion is irritated.,Roommate's motivation is to be helpful.,[immoral_consequence] My roommate is a pig and is angry at me.,It's good to be able to handle messy kitchens.,Roommate's emotion is sad.,Roommate's motivation is to be helpful.,[immoral_consequence] My roommate feels bad and feels like he doesn't care about the cleanliness of the kitchen.,It's good to clean up after yourself.
2451,.,.,[immoral_consequence] The owners of the house are upset with the lack of change.,It's good to change things.,.,.,[moral_consequence] The other people are able to enjoy their new features.,It's good to change things.
2452,I (myself)'s emotion is ashamed.,I (myself)'s motivation is to be healthy.,[immoral_consequence] I feel a little irritated and ashamed of myself.,It's good to be ashamed of yourself.,I (myself)'s emotion is proud.,I (myself)'s motivation is to be healthy.,[moral_consequence] I feel proud that I am not motivated to go to the gym and be healthy.,It's good to feel proud about yourself.
2453,Police's emotion is helpful.,Police's motivation is to be helpful.,[moral_consequence] The police are able to communicate with the police in five minutes.,It's good to communicate with police.,Police's emotion is helpful.,Police's motivation is to be helpful.,[moral_consequence] The police are able to get in touch with the police in five minutes.,It's good to get in touch with police.
2454,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to buy something.,[immoral_consequence] I was unable to find a new pair of shoes and was unable to find a new one.,It's good to have a new shoes.,I (myself)'s emotion is proud.,I (myself)'s motivation is to be helpful.,[moral_consequence] I was able to get my shoes back and get it back.,It's good to be proud of yourself.
2455,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The secretary is unable to finish the project with the janitor.,It's good to work hard on your project.,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The secretary is arrested for a crime.,It's good to be late to work.
2456,I (myself)'s emotion is worried.,I (myself)'s motivation is to be safe.,[immoral_consequence] I'm unable to get an HIV test and my partner is very scared.,It's good to take an HIV test.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a good partner.,[moral_consequence] I am able to get a good grade on the test and get a good grade on the test.,It's good to take an HIV test.
2457,I (myself)'s emotion is sad.,I (myself)'s motivation is to get home.,[immoral_consequence] I was unable to get home and was unable to get home.,It's good to be careful when you're driving.,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to be safe.,[immoral_consequence] I was unable to get my phone back and was unable to get home.,It's good to be euphoric when you're euphoric.
2458,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a good musician.,[moral_consequence] The other lads are happy that they have a great time playing the song.,It's good to be proud of your achievements.,I (myself)'s emotion is hopeful.,I (myself)'s motivation is to be a good musician.,[moral_consequence] The other lads are happy that they have a good time playing the song.,It's good to be confident about your future.
